"","Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID","Species_group","Admitted_date"
"3839","12/9/2014","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found on the ground","Non-selasphorus spp.","5138_ANHU","Non-Selasphorus",2014-12-09
"3840","3/23/2015","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",0,"Spring","found on the ground","Non-selasphorus spp.","5226_ANHU","Selasphorus",2015-03-23
"3841","6/30/1999","Died","Lindsey","No","BCHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","1684_BCHU","Non-Selasphorus",1999-06-30
"3842","5/13/2015","Died","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","found on the ground","Selasphorus spp.","6421_ALHU","Selasphorus",2015-05-13
"3843","2/10/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Winter","nest-related","Non-selasphorus spp.","5171_ANHU","Non-Selasphorus",2015-02-10
"3844","6/25/1993","Released","Lindsey","No","ANHU","Female-like ","adult-like",0,"Summer","found on the ground","Non-selasphorus spp.","503_ANHU","Non-Selasphorus",1993-06-25
"3845","7/14/2015","Released","Lindsey","No","ANHU","Female-like ","adult-like",1,"Summer","found on the ground","Non-selasphorus spp.","5418_ANHU","Non-Selasphorus",2015-07-14
"3846","12/8/2003","Died","Lindsey","No","ANHU","Female-like ","adult-like",0,"Winter","found inside","Non-selasphorus spp.","2583_ANHU","Non-Selasphorus",2003-12-08
"3847","4/27/1998","Died","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1403_ANHU","Selasphorus",1998-04-27
"3848","4/7/1996","Released","Lindsey","No","Non-selasphorus","unknown","Nestling",1,"Spring","nest-related","Non-selasphorus spp.","1013_ANHU","Selasphorus",1996-04-07
"3849","5/31/2013","Released","malibu","No","Selasphorus","Female-like ","adult-like",0,"Spring","unknown","Selasphorus spp.","5957_ALHU","Selasphorus",2013-05-31
